128	759
140	871
154	991
169	1128
185	1266
203	1401
223	1549
245	1744
269	1948
295	2147
324	2403
356	2662
391	2965
430	3294
473	3712
520	4115
572	4562
629	5092
691	5683
760	6307
836	7023
919	7819
1010	8732
1111	9941
1222	11217
1344	12661
1478	14294
1625	16102
1787	18065
1965	20088
2161	22106
2377	24686
2614	27397
2875	30479
3162	33744
3478	37540
3825	41732
4207	46275
4627	51353
5089	56928
5597	63120
6156	70137
6771	77851
7448	86386
8192	95857
9011	106499
9912	118154
10903	132769
11993	148682
13192	166500
14511	186713
15962	208784
17558	233229
19313	260128
21244	287225
23368	318142
25704	353304
28274	392010
31101	434752
34211	481017
37632	533277
41395	590219
45534	654530
50087	725449
55095	803209
60604	889660
66664	986182
73330	1092291
80663	1209753
88729	1339670
97601	1484392
107361	1655714
118097	1844864
129906	2055691
142896	2297331
157185	2569392
172903	2865783
190193	3190002
209212	3523171
230133	3893172
253146	4314175
278460	4776990
306306	5286068
336936	5850833
370629	6477386
407691	7166719
448460	7924947
493306	8772001
542636	9706765
596899	10736351
656588	11876703
722246	13131911
794470	14542723
873917	16094062
961308	17799400
1057438	19753987
1163181	22024704
1279499	24558161
1407448	27377430
1548192	30527720
1703011	33944639
1873312	37666759
2060643	41557195
2266707	45850161
2493377	50798788
2742714	56208144
3016985	62136440
3318683	68650921
3650551	75913375
4015606	83937529
4417166	92759550
4858882	102493480
5344770	113255523
5879247	125205119
6467171	138487909
7113888	153039056
7825276	169102611
8607803	186994071
9468583	206720429
