759	21
871	25
991	25
1128	48
1266	31
1401	35
1549	37
1744	74
1948	45
2147	74
2403	57
2662	62
2965	206
3294	77
3712	148
4115	94
4562	179
5092	118
5683	128
6307	148
7023	282
7819	173
8732	213
9941	377
11217	243
12661	301
14294	313
16102	645
18065	400
20088	452
22106	496
24686	806
27397	1071
30479	825
33744	1136
37540	937
41732	1069
46275	1038
51353	2346
56928	1301
63120	1447
70137	2709
77851	1794
86386	2338
95857	2672
106499	2464
118154	2699
132769	3055
148682	3707
166500	3899
186713	4234
208784	4870
233229	5371
260128	7922
287225	6578
318142	7386
353304	8192
392010	9615
434752	10053
481017	11858
533277	12479
590219	13632
654530	16129
725449	18884
803209	18739
889660	21112
986182	23803
1092291	28611
1209753	34845
1339670	33374
1484392	36850
1655714	43875
1844864	45974
2055691	51178
2297331	57081
2569392	64665
2865783	76395
3190002	79803
3523171	89416
3893172	98618
4314175	110438
4776990	123939
5286068	140407
5850833	155356
6477386	174717
7166719	197150
7924947	216509
8772001	239745
9706765	267827
10736351	298270
11876703	335719
13131911	376495
14542723	418809
16094062	466887
17799400	528721
19753987	583025
22024704	659500
24558161	734678
27377430	659639
30527720	634371
33944639	711664
37666759	782358
41557195	893364
45850161	1018729
50798788	1152666
56208144	1284707
62136440	1408472
68650921	1575392
75913375	1746230
83937529	1942793
92759550	2175396
102493480	2416503
113255523	2684278
125205119	3015650
138487909	3317150
153039056	3678725
169102611	4072512
186994071	4569806
206720429	5007373
